名称,営業日,住所,アクセス
寧々家 盛岡北大橋店,月～金、日、祝日: 11:00～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土、祝前日: 11:00～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,岩手県盛岡市高松２-18-69
個室焼肉 シージャン はなれ,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,香川県高松市鍛冶屋町1-7 3F
中国料理 桃煌 JRホテルクレメント高松,月、火、木～土、祝日、祝前日: 11:30～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～20:30 （料理L.O. 19:30 ドリンクL.O. 19:30）,香川県高松市浜ノ町1-1
肉力JAPAN 楽椿 らくちん,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市磨屋町9-1ダダビル２Ｆ
笑助,月～日、祝日、祝前日: 18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,宮崎県宮崎市高松町2‐25
焼肉五苑 高松中央通りハゼ店,月～金、祝前日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 11:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市東ハゼ町７－１
高松一敷居の低いソムリエのお店 ガブマル食堂,月～日、祝日、祝前日: 17:00～翌3:00,香川県高松市御坊町9番地5
焼肉 シージャン,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市鍛冶屋町１－７　ＡＫビル２Ｆ
和洋酒彩 のんのん,月～金、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、祝日: 17:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市丸亀町4ー14榊原ビル1F
dining えごう,月～土、祝日、祝前日: 17:30～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,香川県高松市鍛冶屋町４－５　EMMYONEビル　B１階
ミオパエーゼ Mio.Paese,月～土、祝日、祝前日: 12:00～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）15:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,香川県高松市今新町7-4　杉本ビル1F
またの 鍛冶屋町店,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 翌0:00）,香川県高松市鍛冶屋町2-10K'sファミリービル1F
豚満 高松北店,月～金: 11:30～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）土、祝日、祝前日: 17:30～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,香川県高松市磨屋町10-5古市ビル2F
かき焼き 海鮮市場 いかだ屋,月～金、日、祝日、祝前日: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）土: 11:30～14:30 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）,香川県高松市木太町4637-3
